In1,In2,In3,In4,In5,In6,In7,In8,In9,In10,Out1
2,2,3,2,2,2,2,2,2,3,4
3,3,2,1,2,2,3,3,3,3,5
2,1,1,1,2,1,1,1,1,3,3
1,3,1,3,1,1,1,3,2,2,3
3,3,3,1,4,2,2,2,2,3,4
2,2,1,1,3,1,1,3,1,1,3
2,3,2,1,2,2,2,2,2,3,3
2,2,1,1,1,2,2,3,1,1,2
2,1,2,1,4,1,2,1,2,3,3
1,1,2,3,3,2,2,3,1,3,4
2,2,3,2,4,2,2,2,2,1,4
2,3,2,2,2,1,3,3,1,2,4
1,2,1,2,1,1,1,3,1,1,3
3,3,3,2,1,1,2,2,3,2,4
2,1,2,1,4,1,2,1,2,3,4
3,2,3,3,3,2,3,3,1,3,5
1,3,2,1,2,2,1,1,2,1,4
2,2,1,1,3,1,1,1,1,1,3
1,2,1,2,1,1,1,3,1,1,2
3,2,3,1,1,1,1,2,3,1,4
2,3,3,2,2,2,1,3,2,3,4
2,2,2,1,1,1,1,3,2,3,3
2,3,2,3,3,2,1,1,2,1,3
3,1,2,1,3,2,2,3,2,2,3
1,3,1,2,3,1,2,2,2,2,3
3,3,3,2,4,2,2,2,3,1,5
2,3,2,3,3,2,1,1,2,1,2
2,3,2,1,2,2,2,2,2,3,3
3,2,1,1,2,1,2,2,1,3,3
2,3,4,1,3,2,2,1,2,2,4
2,2,2,1,1,1,1,3,2,3,4
1,2,2,3,3,2,2,1,1,2,3
3,2,1,3,3,1,1,3,3,2,3
2,2,1,1,1,2,2,3,1,1,3
1,3,3,1,4,2,1,1,2,3,2
1,1,1,3,1,2,1,1,2,3,3
2,2,2,1,3,2,2,2,3,3,4
2,3,3,2,4,1,3,2,3,1,5
3,2,3,1,1,1,1,2,3,1,4
2,2,2,3,2,2,2,3,1,2,4
3,2,1,1,2,1,2,2,1,3,3
3,3,4,3,4,2,3,3,3,3,5
2,2,2,1,3,2,2,2,3,3,5
1,1,2,2,1,2,1,2,2,2,3
3,3,4,1,4,2,3,3,3,2,5
2,2,2,2,2,1,2,2,2,1,3
2,2,1,1,1,2,2,3,1,1,3
2,1,1,3,2,1,2,1,1,3,2
3,1,2,1,3,2,2,3,2,2,5
1,3,3,2,4,1,1,3,3,3,5
2,1,1,3,1,1,3,3,3,1,3
2,2,1,1,3,1,1,1,1,1,3
3,3,2,2,2,1,2,2,2,1,3
3,1,1,2,3,2,2,1,3,1,3
2,2,3,1,1,2,2,2,1,3,4
3,2,2,1,2,2,2,2,1,3,4
2,2,3,2,4,2,2,2,2,1,5
1,2,1,2,2,2,2,1,1,2,3
1,2,3,3,2,1,3,1,3,3,5
2,3,3,1,1,2,3,2,1,1,3
3,2,1,3,3,1,1,3,3,2,3
1,3,1,2,3,1,2,2,2,2,4
3,1,1,2,3,2,2,1,3,1,4
1,3,1,3,2,1,1,1,3,2,3
1,3,3,2,2,2,2,1,3,1,4
1,3,2,1,2,2,1,1,2,1,4
1,3,3,1,4,2,1,1,2,3,5
3,2,1,2,3,2,1,3,1,1,3
2,2,4,3,2,2,2,1,3,1,4
1,1,1,3,1,2,1,1,2,3,3
2,3,4,1,3,2,2,1,2,2,4
1,2,3,3,2,1,3,1,3,3,4
1,3,3,2,2,1,2,3,2,1,3
2,2,1,2,3,1,1,2,3,2,3
3,3,2,3,4,1,2,2,3,3,4
2,1,1,2,1,1,2,2,1,1,3
2,2,1,2,3,1,2,2,2,1,4
2,2,2,2,2,1,2,2,2,1,3
2,2,1,1,3,1,1,1,1,1,3
3,1,1,3,3,2,2,2,3,3,3
2,3,1,3,4,1,2,1,2,3,5
3,3,1,1,4,1,2,3,3,3,5
1,3,1,3,1,1,1,3,2,2,3
3,3,3,1,4,2,2,2,2,3,3
1,3,3,2,2,2,2,1,3,1,4
1,2,3,3,2,1,3,1,3,3,5
2,3,3,2,2,2,3,2,3,3,4
2,1,1,2,2,1,2,1,1,3,3
3,3,1,1,4,1,2,3,3,3,5
3,2,2,3,2,1,1,2,3,3,3
1,1,1,2,1,1,3,3,1,1,3
2,1,2,3,2,2,2,3,3,2,4
2,3,2,3,3,2,1,1,2,1,3
3,1,1,2,3,2,2,1,3,1,3
1,3,4,1,4,2,1,3,1,1,4
2,2,3,2,4,2,2,2,2,1,4
2,3,2,2,2,1,3,2,2,1,4
2,3,2,1,2,1,2,1,2,3,4
3,3,4,3,3,2,2,2,3,3,5
2,2,1,1,3,1,1,3,1,1,3
2,3,2,1,2,2,2,2,2,3,4
2,1,1,3,2,1,2,1,1,3,2
2,2,1,2,3,1,2,2,2,1,3
1,3,2,2,1,1,1,2,3,2,4
3,1,1,2,3,2,2,1,3,1,4
2,1,1,2,1,1,2,2,1,1,3
1,2,4,1,3,1,1,3,2,2,4
2,2,2,2,2,1,2,3,1,3,4
2,3,2,2,2,1,3,3,1,2,4
1,2,1,2,1,1,1,3,1,1,3
1,2,2,1,1,2,1,2,1,2,3
3,3,3,2,1,1,3,3,1,1,4
1,2,2,3,1,1,1,2,2,2,4
3,3,3,2,4,2,2,2,3,1,3
1,1,2,1,1,1,2,2,1,2,3
1,1,2,2,1,2,1,2,2,2,3
3,2,2,1,1,2,3,1,1,3,3
2,2,1,3,3,1,3,2,1,2,3
2,2,1,1,1,2,2,3,1,1,3
2,1,1,3,2,1,2,1,1,3,4
1,3,1,3,1,1,1,3,2,2,4
2,2,2,1,3,2,2,2,3,3,5
3,2,1,3,3,1,1,3,3,2,3
2,3,1,3,4,1,2,1,2,3,3
3,2,2,1,1,2,3,1,1,3,4
2,2,1,2,3,1,2,2,2,1,3
1,3,4,1,4,2,1,3,1,1,4
1,3,1,1,1,1,1,2,3,3,3
1,3,1,1,1,1,1,2,3,3,3
3,3,4,1,4,2,3,3,3,2,5
1,1,1,1,1,1,2,1,1,1,2
1,2,2,3,3,2,2,1,1,2,3
3,1,2,1,3,2,2,3,2,2,3
1,3,2,2,1,1,1,2,3,2,3
1,2,1,1,1,1,1,1,1,1,3
3,2,1,1,2,1,2,2,1,3,5
2,3,4,2,4,2,2,2,1,2,3
2,1,3,3,4,2,2,2,3,2,5
2,3,4,1,3,2,2,1,2,2,4
1,3,3,2,2,2,2,1,3,1,4
2,3,3,2,4,1,3,2,3,1,5
2,2,1,1,1,2,2,3,1,1,4
2,3,3,2,4,1,3,2,3,1,4
3,3,3,2,1,1,3,3,1,1,3
2,2,1,2,3,1,1,2,3,2,4
1,3,3,1,2,1,2,2,2,3,3
1,1,2,2,1,2,1,2,2,2,3
1,2,3,3,2,1,3,1,3,3,4
2,1,3,3,2,2,3,2,2,3,5
2,2,4,3,3,2,3,2,3,3,5
1,1,1,1,1,1,2,1,1,1,3
1,2,1,2,1,1,1,3,1,1,3
2,1,1,1,2,1,1,1,1,3,3
3,3,4,3,4,2,3,3,3,3,5
3,3,2,3,4,1,2,2,3,3,5
2,2,1,1,1,2,2,3,1,1,3
2,3,3,1,1,2,1,3,2,2,4
2,1,2,2,3,1,2,2,3,1,3
1,1,1,2,1,1,3,3,1,1,3
3,2,1,3,3,1,1,3,3,2,4
1,3,3,1,2,1,2,2,2,3,4
3,3,2,3,4,1,2,2,3,3,5
3,1,1,1,3,1,2,1,2,3,3
3,3,2,1,2,2,3,3,3,3,5
3,3,2,3,4,1,2,2,3,3,4
2,3,3,2,4,1,3,2,3,1,4
2,1,3,3,2,2,3,2,2,3,4
1,2,2,1,1,2,1,2,1,2,3
1,2,2,3,3,2,2,1,1,2,4
2,1,2,2,3,1,2,2,3,1,3
1,2,2,3,1,1,1,2,2,2,4
1,3,3,1,4,2,1,1,2,3,4
2,1,2,2,3,1,2,2,3,1,3
2,2,3,1,1,2,2,2,1,3,5
1,3,4,1,3,2,3,1,1,3,4
1,3,4,3,3,2,2,3,1,3,4
3,3,4,1,4,2,3,3,3,2,5
1,2,2,1,1,2,1,2,1,2,3
2,1,1,1,2,1,1,1,2,1,4
2,3,4,2,4,2,2,2,1,2,4
2,1,1,1,2,1,1,1,1,3,2
1,3,2,1,2,2,1,1,2,1,2
2,2,1,1,1,2,2,3,1,1,3
1,2,2,1,1,2,1,2,1,2,3
1,2,4,1,3,1,1,3,2,2,4
2,1,3,2,3,1,2,1,3,2,3
2,1,3,2,3,1,2,1,3,2,3
3,2,2,3,1,1,3,1,3,3,5
3,2,2,3,1,1,3,1,3,3,5
2,1,1,1,1,1,1,2,2,2,3
2,1,1,1,1,1,1,2,2,2,3
1,2,2,1,1,2,1,2,1,2,3
2,3,2,2,2,1,3,2,2,1,5
3,2,2,2,4,1,3,1,2,3,4
2,3,3,2,3,1,3,2,2,3,5
2,1,1,2,2,1,2,1,1,3,4
1,2,2,3,3,2,2,1,1,2,4
3,3,2,1,2,2,3,3,3,3,5
2,2,4,3,3,2,3,2,3,3,5
1,3,4,1,4,2,1,3,1,1,5
2,2,1,3,2,2,1,3,1,1,4
3,3,4,3,4,2,3,3,3,3,5
1,3,2,1,2,2,1,1,2,1,4
3,3,2,1,2,2,3,3,3,3,4
2,3,3,2,4,1,3,2,3,1,5
2,1,1,1,2,1,1,1,1,3,2
2,1,3,3,4,2,2,2,3,2,5
1,2,1,2,1,1,1,3,1,1,3
3,3,2,2,2,1,2,2,2,1,4
2,3,4,2,2,1,3,2,3,2,4
1,1,1,2,1,1,3,3,1,1,3
2,1,1,3,2,1,2,1,1,3,2
2,3,3,2,4,1,3,2,3,1,4
3,2,1,3,3,1,1,3,3,2,4
2,2,2,3,2,2,2,3,1,2,3
3,3,3,3,3,1,1,2,3,3,5
1,2,2,3,1,1,1,2,2,2,4
2,3,4,3,2,2,2,3,3,2,4
2,1,3,2,3,1,2,1,3,2,4
1,3,1,3,2,2,1,2,1,3,3
2,1,3,3,4,2,2,2,3,2,5
3,1,1,1,3,1,2,1,2,3,2
1,2,1,2,1,1,1,3,1,1,3
2,3,4,3,2,2,2,3,3,2,3
1,1,2,3,3,2,2,3,1,3,5
2,1,1,1,2,1,1,1,1,3,2
1,3,3,1,4,2,1,1,2,3,4
3,1,1,2,3,2,2,1,3,1,3
1,1,2,2,1,2,1,2,2,2,3
3,3,2,2,2,1,2,2,2,1,3
3,3,2,1,2,2,3,3,3,3,5
3,3,3,2,1,1,2,2,3,2,3
3,1,1,2,3,2,2,1,3,1,4
3,3,3,3,3,1,1,2,3,3,5
3,1,1,3,3,2,2,2,3,3,3
2,3,4,3,2,2,2,3,3,2,4
3,2,1,1,2,1,2,2,1,3,4
1,3,3,2,2,1,2,3,2,1,4
1,2,2,3,1,1,1,2,2,2,3
2,3,4,2,2,1,3,2,3,2,5
2,2,1,3,3,1,3,2,1,2,4
2,2,1,1,1,1,2,2,1,3,4
3,2,2,3,1,1,3,1,3,3,4
2,2,1,2,3,1,1,2,3,2,4
2,3,4,3,2,2,2,3,3,2,3
3,1,1,3,3,2,2,2,3,3,4
3,3,2,3,4,1,2,2,3,3,5
3,3,2,2,2,1,2,2,2,1,4
1,2,4,1,3,1,1,3,2,2,4
3,1,1,1,3,1,2,1,2,3,4
3,3,2,3,4,1,2,2,3,3,5
2,3,3,2,2,2,1,3,2,3,5
2,3,2,2,2,1,3,3,1,2,3
2,3,3,2,2,2,1,3,2,3,5
2,1,2,3,2,2,2,3,3,2,4
1,2,2,2,2,1,3,1,2,1,3
1,2,2,3,3,2,2,1,1,2,4
2,2,2,2,2,1,2,3,1,3,3
1,3,3,2,2,1,2,3,2,1,4
2,1,1,1,2,1,1,1,2,1,3
2,2,4,3,3,2,3,2,3,3,5
2,1,2,1,4,1,2,1,2,3,3
2,3,2,2,2,1,3,2,2,1,5
1,2,4,1,3,1,1,3,2,2,5
3,3,4,1,4,2,3,3,3,2,4
1,2,1,2,1,1,1,3,1,1,2
3,1,2,1,3,2,2,3,2,2,4
3,3,4,3,3,2,2,2,3,3,5
2,3,4,2,2,1,3,2,3,2,4
2,2,2,2,2,1,2,3,1,3,5
2,2,2,2,2,1,2,3,1,3,4
2,3,3,1,1,2,1,3,2,2,4
2,1,1,2,1,1,2,2,1,1,3
2,1,3,3,2,2,3,2,2,3,4
2,2,1,3,3,1,3,2,1,2,4
1,2,1,3,1,1,1,1,3,2,4
3,2,3,1,1,1,1,2,3,1,4
3,2,2,1,2,2,2,2,1,3,5
2,1,2,1,4,1,2,1,2,3,4
3,2,3,3,3,2,3,3,1,3,5
2,2,2,1,1,1,1,3,2,3,3
3,3,3,2,1,1,2,2,3,2,4
1,2,3,3,2,1,3,1,3,3,5
2,3,2,3,3,2,1,1,2,1,5
2,1,3,3,2,2,3,2,2,3,5
2,3,2,2,2,1,3,2,2,1,3
3,1,1,3,3,2,2,2,3,3,4
2,2,1,1,3,1,1,3,1,1,3
1,3,3,1,4,2,1,1,2,3,3
2,1,1,3,1,1,3,3,3,1,3
1,2,4,1,3,1,1,3,2,2,4
3,3,1,1,4,1,2,3,3,3,3
1,2,2,2,2,1,3,1,2,1,3
1,1,2,3,3,2,2,3,1,3,5
1,1,2,1,1,1,2,2,1,2,4
3,2,3,2,2,1,2,3,3,3,4
2,2,4,2,2,2,2,2,3,3,5
2,3,3,1,1,2,1,3,2,2,4
2,3,3,2,2,2,3,2,3,3,4
3,2,2,3,2,1,1,2,3,3,5
3,3,3,2,1,1,2,2,3,2,4
3,3,4,3,3,2,2,2,3,3,5
2,1,1,1,1,1,1,2,2,2,4
2,3,3,2,4,1,3,2,3,1,4
1,2,1,3,1,1,1,1,3,2,3
1,1,2,1,1,1,2,2,1,2,3
2,2,1,2,3,1,2,2,2,1,3
2,1,1,1,2,1,1,1,2,1,3
3,2,2,3,2,1,1,2,3,3,3
3,3,3,3,3,1,1,2,3,3,4
1,1,2,1,1,1,2,2,1,2,4
3,3,3,2,4,2,2,2,3,1,4
2,2,3,1,1,2,2,2,1,3,3
2,3,3,2,2,2,3,2,3,3,4
3,3,2,3,4,2,2,3,2,3,5
3,1,1,1,3,1,2,1,2,3,3
2,2,1,1,3,1,1,3,1,1,3
3,3,2,1,2,2,3,3,3,3,5
3,3,2,3,4,2,2,3,2,3,5
3,3,3,3,3,1,1,2,3,3,5
3,2,3,2,2,1,2,3,3,3,3
2,2,1,1,1,2,2,3,1,1,4
3,3,4,3,4,2,3,3,3,3,5
2,1,1,3,1,1,3,3,3,1,3
1,3,3,1,4,2,1,1,2,3,4
2,2,3,2,2,2,2,2,2,3,5
1,1,1,2,1,1,3,3,1,1,3
1,2,1,1,4,1,1,1,2,1,3
1,3,1,1,1,1,1,2,3,3,3
2,3,3,1,1,2,1,3,2,2,4
2,2,1,1,1,2,2,3,1,1,3
2,3,2,1,2,2,2,2,2,3,5
3,2,2,3,2,1,1,2,3,3,4
2,2,2,1,1,1,1,3,2,3,4
3,2,4,1,2,1,3,2,2,2,3
1,1,2,2,1,2,1,2,2,2,3
2,2,2,2,2,1,2,2,2,1,3
1,2,1,3,1,1,1,1,3,2,3
2,1,2,1,4,1,2,1,2,3,3
2,1,2,3,2,2,2,3,3,2,3
1,3,4,1,4,2,1,3,1,1,4
1,2,1,1,4,1,1,1,2,1,4
2,2,4,2,2,2,2,2,3,3,5
2,3,4,2,4,2,2,2,1,2,5
2,3,2,2,2,1,3,3,1,2,4
3,1,2,1,3,2,2,3,2,2,4
1,3,1,3,2,1,1,1,3,2,3
1,1,2,3,3,2,2,3,1,3,5
1,3,1,3,2,1,1,1,3,2,3
2,2,4,2,2,2,2,2,3,3,5
1,3,4,1,3,2,3,1,1,3,5
2,3,3,2,2,2,3,2,3,3,5
2,1,2,2,3,1,2,2,3,1,3
2,1,2,2,3,1,2,2,3,1,3
1,3,4,1,4,2,1,3,1,1,4
2,2,2,1,4,2,1,3,1,2,4
1,2,3,3,2,1,3,1,3,3,5
2,2,4,2,2,2,2,2,3,3,5
3,3,3,2,1,1,3,3,1,1,4
2,1,3,2,3,1,2,1,3,2,4
1,3,3,2,2,2,2,1,3,1,4
2,3,2,3,3,2,1,1,2,1,3
3,2,1,3,3,1,1,3,3,2,3
2,3,2,2,2,1,3,3,1,2,4
1,2,1,3,1,1,1,1,3,2,4
2,3,3,2,3,1,3,2,2,3,5
2,3,3,2,2,2,3,2,3,3,5
