,Location,Area,Bed,Bath,Price
652,"West Kalachandpur, Kalachandpur, Dhaka","1,100 sqft",3,2,18 Thousand
653,"East Kazipara, Mirpur, Dhaka","1,200 sqft",3,3,13 Thousand
654,"Block D, Mansurabad Housing Society, Adabor, Dhaka","1,200 sqft",3,3,20 Thousand
655,"Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",700 sqft,3,2,12 Thousand
656,"South Pirerbag, Pirerbag, Mirpur, Dhaka",700 sqft,2,2,11 Thousand
657,"Banasree, Dhaka","1,100 sqft",3,3,18 Thousand
658,"Naya Paltan, Motijheel, Dhaka","1,300 sqft",3,3,35 Thousand
659,"Block F, Banasree, Dhaka",800 sqft,2,2,15 Thousand
660,"PC Culture Housing, Mohammadpur, Dhaka",800 sqft,2,2,15 Thousand
661,"Nadda, Dhaka",900 sqft,2,2,18 Thousand
662,"Mohammadpur, Dhaka",720 sqft,2,2,16 Thousand
663,"Mohammadpur, Dhaka",720 sqft,2,2,16 Thousand
664,"North Goran, Goran, Khilgaon, Dhaka","1,200 sqft",3,2,21 Thousand
665,"Aainusbag, Dakshin Khan, Dhaka","1,000 sqft",3,2,14 Thousand
666,"Aainusbag, Dakshin Khan, Dhaka",700 sqft,2,2,10.5 Thousand
667,"Aainusbag, Dakshin Khan, Dhaka",700 sqft,2,2,11 Thousand
668,"Mohammadpur, Dhaka","2,700 sqft",3,3,60 Thousand
669,"North Ibrahimpur, Ibrahimpur, Dhaka",950 sqft,3,2,18 Thousand
670,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,20 Thousand
671,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,17 Thousand
672,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,20 Thousand
673,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,20 Thousand
674,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,20 Thousand
675,"Shyamoli, Dhaka",720 sqft,2,2,15 Thousand
676,"Shyamoli, Dhaka",720 sqft,2,2,15 Thousand
677,"North Vashantek, Vashantek, Cantonment, Dhaka",700 sqft,2,2,14 Thousand
678,"North Vashantek, Vashantek, Cantonment, Dhaka",700 sqft,2,2,14 Thousand
679,"North Vashantek, Vashantek, Cantonment, Dhaka",650 sqft,2,2,13 Thousand
680,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
681,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
682,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
683,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
684,"Vatara, Badda, Dhaka",750 sqft,2,2,15 Thousand
685,"West Shewrapara, Mirpur, Dhaka","1,100 sqft",3,3,20 Thousand
686,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,20 Thousand
687,"Chandmiya Housing, Mohammadpur, Dhaka",850 sqft,2,2,15 Thousand
688,"Naya Paltan, Motijheel, Dhaka","1,200 sqft",2,2,35 Thousand
689,"Sector 10, Uttara, Dhaka","1,350 sqft",3,3,21 Thousand
690,"Kalabagan, Dhaka","1,940 sqft",3,4,32 Thousand
691,"Mirpur, Dhaka","1,050 sqft",3,2,14 Thousand
692,"Block C, Section 10, Mirpur, Dhaka",650 sqft,2,2,12.5 Thousand
693,"Block C, Section 10, Mirpur, Dhaka","1,600 sqft",3,2,21 Thousand
694,"Block A, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
695,"Purana Polton Lane, Purana Paltan, Motijheel, Dhaka","2,000 sqft",4,3,40 Thousand
696,"Shyamoli, Dhaka","1,100 sqft",3,2,20 Thousand
697,"Nadda, Dhaka",750 sqft,2,2,12 Thousand
698,"Nadda, Dhaka",700 sqft,2,2,14 Thousand
699,"Nadda, Dhaka",750 sqft,2,2,13 Thousand
700,"Nadda, Dhaka",650 sqft,2,1,11.5 Thousand
701,"Dakshin Khan, Dhaka","1,000 sqft",3,2,15 Thousand
702,"Rupnagar R/A, Mirpur, Dhaka",900 sqft,2,2,18 Thousand
703,"Baitul Aman Housing Society, Adabor, Dhaka",800 sqft,2,2,15 Thousand
704,"Kallyanpur, Mirpur, Dhaka","1,116 sqft",3,3,15 Thousand
705,"Nadda, Dhaka",700 sqft,2,1,12 Thousand
706,"Avenue 11, Mirpur DOHS, Mirpur, Dhaka","1,100 sqft",2,2,28 Thousand
707,"Badda, Dhaka","1,000 sqft",3,2,20 Thousand
708,"Sector 1, Block E, Aftab Nagar, Dhaka","1,350 sqft",3,3,25 Thousand
709,"Kallyanpur, Mirpur, Dhaka","1,116 sqft",3,3,15 Thousand
710,"South Monipur, Mirpur, Dhaka",800 sqft,2,2,14 Thousand
711,"Sector 1, Uttara, Dhaka","1,200 sqft",3,3,25 Thousand
712,"Sector 1, Uttara, Dhaka","2,850 sqft",4,5,50 Thousand
713,"Sector 1, Uttara, Dhaka","1,950 sqft",3,4,55 Thousand
714,"Sector 1, Uttara, Dhaka","1,400 sqft",3,3,25 Thousand
715,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka","1,250 sqft",3,3,14 Thousand
716,"Sobhanbagh, Tejgaon, Dhaka","1,250 sqft",3,3,25 Thousand
717,"Bashabo, Dhaka",700 sqft,2,2,15 Thousand
718,"Bashabo, Dhaka",400 sqft,1,1,10 Thousand
719,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
720,"Bashabo, Dhaka",700 sqft,2,2,15 Thousand
721,"Shyamoli, Dhaka",720 sqft,2,2,15 Thousand
722,"Shyamoli, Dhaka",720 sqft,2,2,15 Thousand
723,"Sector 1, Block E, Aftab Nagar, Dhaka","1,150 sqft",3,3,20 Thousand
724,"Block D, Section 15, Mirpur, Dhaka","1,553 sqft",3,3,22 Thousand
725,"Block D, Section 15, Mirpur, Dhaka","1,553 sqft",3,3,22 Thousand
726,"Vatara, Badda, Dhaka",750 sqft,2,2,15 Thousand
727,"East Rampura, Rampura, Dhaka",650 sqft,2,1,10.5 Thousand
728,"Dhanmondi, Dhaka",900 sqft,3,2,20 Thousand
729,"Block A, Bashundhara R-A, Dhaka","1,425 sqft",3,3,25 Thousand
730,"Joar Sahara, Dhaka",750 sqft,2,2,13 Thousand
731,"East Manikdi, Manikdi, Cantonment, Dhaka",850 sqft,2,2,11 Thousand
732,"Chairman Para, Dakshin Khan, Dhaka",600 sqft,2,2,8.5 Thousand
733,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",550 sqft,2,1,13 Thousand
734,"West Shewrapara, Mirpur, Dhaka",700 sqft,2,2,13 Thousand
735,"Banani, Dhaka","1,800 sqft",3,3,60 Thousand
736,"Middle Monipur, Mirpur, Dhaka","1,100 sqft",3,3,15 Thousand
737,"South Monipur, Mirpur, Dhaka",700 sqft,2,2,10 Thousand
738,"Aainusbag, Dakshin Khan, Dhaka","1,100 sqft",3,2,14 Thousand
739,"Aainusbag, Dakshin Khan, Dhaka","1,100 sqft",3,2,14 Thousand
740,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",700 sqft,2,2,15 Thousand
741,"Sector 1, Block F, Aftab Nagar, Dhaka",600 sqft,2,2,11.5 Thousand
742,"Block I, Bashundhara R-A, Dhaka","1,100 sqft",3,3,24 Thousand
743,"Mohammadpur, Dhaka","2,700 sqft",3,3,60 Thousand
744,"Sector 1, Block F, Aftab Nagar, Dhaka","1,450 sqft",3,3,25 Thousand
745,"Sector 1, Block F, Aftab Nagar, Dhaka","1,450 sqft",3,3,25 Thousand
746,"Senpara Parbata, Section 10, Mirpur, Dhaka",800 sqft,3,2,25 Thousand
747,"Block H, Bashundhara R-A, Dhaka","1,550 sqft",3,3,25 Thousand
748,"Rupnagar R/A, Mirpur, Dhaka",700 sqft,2,2,16 Thousand
749,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
750,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
751,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
752,"Block A, Section 12, Mirpur, Dhaka","1,300 sqft",3,3,26 Thousand
753,"Block A, Section 12, Mirpur, Dhaka",650 sqft,2,2,13 Thousand
754,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,000 sqft",3,3,14 Thousand
755,"Block G, Bashundhara R-A, Dhaka","2,500 sqft",3,4,60 Thousand
756,"West Kalachandpur, Kalachandpur, Dhaka","1,500 sqft",3,3,26 Thousand
757,"West Kalachandpur, Kalachandpur, Dhaka","1,500 sqft",3,3,26 Thousand
758,"West Kalachandpur, Kalachandpur, Dhaka","1,500 sqft",3,3,27 Thousand
759,"Block A, Section 12, Mirpur, Dhaka",650 sqft,2,2,13.5 Thousand
760,"East Monipur, Mirpur, Dhaka","1,000 sqft",3,2,20 Thousand
761,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka","1,500 sqft",4,3,20 Thousand
762,"South Monipur, Mirpur, Dhaka",800 sqft,2,2,10 Thousand
763,"Kallyanpur, Mirpur, Dhaka","1,290 sqft",3,3,20 Thousand
764,"Shegunbagicha, Dhaka","1,550 sqft",3,3,35 Thousand
765,"Kallyanpur, Mirpur, Dhaka",850 sqft,2,2,15 Thousand
766,"Sector 1, Block F, Aftab Nagar, Dhaka","1,800 sqft",3,4,25 Thousand
767,"Avenue 11, Mirpur DOHS, Mirpur, Dhaka","1,100 sqft",2,2,28 Thousand
768,"Rupnagar R/A, Mirpur, Dhaka",700 sqft,2,2,16 Thousand
769,"Rupnagar R/A, Mirpur, Dhaka",700 sqft,2,2,16 Thousand
770,"Block A, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,26.5 Thousand
771,"Block A, Section 12, Mirpur, Dhaka","1,750 sqft",3,3,35 Thousand
772,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
773,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
774,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
775,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
776,"Kallyanpur, Mirpur, Dhaka","1,077 sqft",3,3,16 Thousand
777,"Kallyanpur, Mirpur, Dhaka","1,077 sqft",3,3,16 Thousand
778,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
779,"Block D, Section 10, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
780,"Block A, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,27 Thousand
781,"Block B, Chandrima Model Town, Mohammadpur, Dhaka","1,200 sqft",3,3,15 Thousand
782,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,300 sqft",3,3,18 Thousand
783,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
784,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
785,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
786,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
787,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,12 Thousand
788,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,13 Thousand
789,"Badda, Dhaka","1,441 sqft",3,3,35 Thousand
790,"Block D, Section 15, Mirpur, Dhaka","1,872 sqft",3,3,30 Thousand
791,"West Nandipara, Khilgaon, Dhaka",700 sqft,2,2,10 Thousand
792,"West Nandipara, Khilgaon, Dhaka",700 sqft,2,2,10 Thousand
793,"Block D, Section 15, Mirpur, Dhaka","1,872 sqft",3,3,26 Thousand
794,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka","1,200 sqft",3,3,13 Thousand
795,"West Shewrapara, Mirpur, Dhaka","1,100 sqft",3,3,20 Thousand
796,"Block H, Bashundhara R-A, Dhaka","1,530 sqft",3,3,25 Thousand
797,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,360 sqft",3,3,18 Thousand
798,"Shah Ali Bag, Section 1, Mirpur, Dhaka","1,360 sqft",3,3,18 Thousand
799,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,30 Thousand
800,"Joar Sahara, Dhaka",950 sqft,3,2,19 Thousand
801,"Joar Sahara, Dhaka",950 sqft,3,2,18 Thousand
802,"Sayednagar, East Vatara, Vatara, Badda, Dhaka","1,000 sqft",3,2,13 Thousand
803,"Block B, Section 10, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
804,"Rampura, Dhaka",650 sqft,2,1,10.5 Thousand
805,"Block B, Section 10, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
806,"New Eskaton, Eskaton, Dhaka",700 sqft,2,2,14 Thousand
807,"Banasree, Dhaka","1,100 sqft",3,3,18 Thousand
808,"Ibrahimpur, Dhaka",850 sqft,2,2,12 Thousand
809,"Sector 4, Uttara, Dhaka","1,600 sqft",3,3,25 Thousand
810,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",850 sqft,2,2,17 Thousand
811,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",850 sqft,2,2,17 Thousand
812,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",850 sqft,2,2,17 Thousand
813,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",850 sqft,2,2,17 Thousand
814,"Ibrahimpur, Dhaka",650 sqft,2,1,10 Thousand
815,"West Monipur, Mirpur, Dhaka","1,000 sqft",3,2,16 Thousand
816,"Badda, Dhaka","1,500 sqft",3,3,35 Thousand
817,"Badda, Dhaka","1,500 sqft",3,3,35 Thousand
818,"Tajmahal Road, Mohammadpur, Dhaka","1,200 sqft",3,3,22 Thousand
819,"Eskaton, Dhaka",700 sqft,2,2,20 Thousand
820,"Block G, Bashundhara R-A, Dhaka","1,600 sqft",3,3,30 Thousand
821,"Lalbagh, Dhaka",550 sqft,2,2,14 Thousand
822,"Kathalbagan, Dhaka",950 sqft,2,2,25 Thousand
823,"Block A, Section 10, Mirpur, Dhaka","1,100 sqft",3,3,20 Thousand
824,"Ahmed Nagar, Mirpur, Dhaka",600 sqft,2,1,9.5 Thousand
825,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",900 sqft,2,2,15 Thousand
826,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",800 sqft,2,2,11 Thousand
827,"Senpara Parbata, Section 10, Mirpur, Dhaka",800 sqft,2,2,15 Thousand
828,"Hatirpool, Dhaka",900 sqft,2,2,22 Thousand
829,"Nayatola, Maghbazar, Dhaka",850 sqft,2,2,17 Thousand
830,"Rampura, Dhaka",700 sqft,2,1,10.5 Thousand
831,"Rampura, Dhaka",600 sqft,2,1,11 Thousand
832,"Madhya Ajampur, Dakshin Khan, Dhaka","1,200 sqft",3,2,18 Thousand
833,"West Agargaon, Agargaon, Dhaka","1,200 sqft",3,3,20 Thousand
834,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",800 sqft,2,2,16 Thousand
835,"Kallyanpur, Mirpur, Dhaka","1,187 sqft",3,3,18 Thousand
836,"Baitul Aman Housing Society, Adabor, Dhaka",800 sqft,2,2,16 Thousand
837,"Bashabo, Dhaka",750 sqft,2,2,15.5 Thousand
838,"Ibrahimpur, Dhaka","1,300 sqft",3,3,17 Thousand
839,"New Eskaton, Eskaton, Dhaka","1,300 sqft",3,3,30 Thousand
840,"Block K, Bashundhara R-A, Dhaka","2,530 sqft",4,4,35 Thousand
841,"Block K, Bashundhara R-A, Dhaka","1,500 sqft",3,3,22 Thousand
842,"Taltola, Agargaon, Dhaka",600 sqft,2,1,8 Thousand
843,"Mirpur, Dhaka",450 sqft,1,1,10 Thousand
844,"Rajabazar, Tejgaon, Dhaka","1,527 sqft",3,3,40 Thousand
845,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
846,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
847,"Sector 1, Block F, Aftab Nagar, Dhaka","1,450 sqft",3,3,25 Thousand
848,"Sector 1, Block F, Aftab Nagar, Dhaka","1,450 sqft",3,3,25 Thousand
849,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
850,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
851,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
852,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
853,"Road No 12, Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,12 Thousand
854,"Kafrul, Dhaka","1,300 sqft",3,3,18 Thousand
855,"Suchona Model Town, Bochila, Mohammadpur, Dhaka","1,300 sqft",3,3,16 Thousand
856,"Ibrahimpur, Dhaka",800 sqft,2,2,12 Thousand
857,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,13 Thousand
858,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,12 Thousand
859,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,13 Thousand
860,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,12 Thousand
861,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,13 Thousand
862,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,12 Thousand
863,"Sector 1, Block F, Aftab Nagar, Dhaka",650 sqft,2,2,13 Thousand
864,"Block TA, Section 6, Mirpur, Dhaka",650 sqft,2,2,14 Thousand
865,"Dakkhin Paikpara, Mirpur, Dhaka",800 sqft,2,2,12 Thousand
866,"Faydabad, Dakshin Khan, Dhaka","1,000 sqft",3,2,13 Thousand
867,"Tilpapara, Khilgaon, Dhaka",700 sqft,2,2,13 Thousand
868,"Darussalam, Mirpur, Dhaka","1,300 sqft",3,3,20 Thousand
869,"West Kalachandpur, Kalachandpur, Dhaka",750 sqft,2,2,14 Thousand
870,"Block L, Bashundhara R-A, Dhaka","1,500 sqft",3,3,18 Thousand
871,"West Monipur, Mirpur, Dhaka","1,000 sqft",3,2,15.5 Thousand
872,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",500 sqft,2,1,10.5 Thousand
873,"Goran, Khilgaon, Dhaka",800 sqft,2,2,15.3 Thousand
874,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,28 Thousand
875,"Sector 14, Uttara, Dhaka",850 sqft,2,2,20 Thousand
876,"Swapnodhara Housing, Bochila, Mohammadpur, Dhaka","1,200 sqft",3,3,17 Thousand
877,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
878,"Block A, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,26.5 Thousand
879,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
880,"Kafrul, Dhaka",600 sqft,1,1,10 Thousand
881,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",700 sqft,2,2,15 Thousand
882,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",700 sqft,2,2,15 Thousand
883,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
884,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
885,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
886,"Block A, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,27 Thousand
887,"Block A, Section 12, Mirpur, Dhaka","1,100 sqft",2,3,24 Thousand
888,"Block I, Bashundhara R-A, Dhaka","1,400 sqft",3,3,26 Thousand
889,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,25 Thousand
890,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,26 Thousand
891,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,26 Thousand
892,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,26 Thousand
893,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,26 Thousand
894,"Mohammadpur, Dhaka",720 sqft,2,2,17 Thousand
895,"Faydabad, Dakshin Khan, Dhaka","1,100 sqft",3,2,13 Thousand
896,"Faydabad, Dakshin Khan, Dhaka","1,100 sqft",3,2,14 Thousand
897,"Block C, Dhaka Uddan, Mohammadpur, Dhaka","1,250 sqft",3,3,13 Thousand
898,"Mohammadi Housing LTD., Mohammadpur, Dhaka",620 sqft,2,1,14 Thousand
899,"Pirerbag, Mirpur, Dhaka","1,000 sqft",3,3,14 Thousand
900,"Block F, aziz Moholla, Mohammadpur, Dhaka",800 sqft,2,2,15 Thousand
901,"Sector 10, Uttara, Dhaka","1,200 sqft",3,3,20 Thousand
902,"Shahjahanpur, Dhaka",700 sqft,2,2,18 Thousand
903,"Shahjahanpur, Dhaka",600 sqft,2,1,16 Thousand
904,"Shahjahanpur, Dhaka",700 sqft,2,2,20 Thousand
905,"Block C, Section 6, Mirpur, Dhaka","1,482 sqft",3,3,30 Thousand
906,"Block B, Dhaka Uddan, Mohammadpur, Dhaka",750 sqft,2,2,11 Thousand
907,"Sector 10, Uttara, Dhaka","1,600 sqft",3,3,20 Thousand
908,"Sector 11, Uttara, Dhaka","1,384 sqft",3,3,24 Thousand
909,"Tejgaon, Dhaka",750 sqft,2,2,20 Thousand
910,"Malibagh, Dhaka",800 sqft,2,2,20 Thousand
911,"South Bishil, Section 1, Mirpur, Dhaka",650 sqft,2,1,10.5 Thousand
912,"Middle Badda, Badda, Dhaka",550 sqft,1,1,13.5 Thousand
913,"Block F, Section 11, Mirpur, Dhaka","1,250 sqft",3,3,17 Thousand
914,"Dhanmondi, Dhaka","1,300 sqft",3,3,25 Thousand
915,"Amligola, Lalbagh, Dhaka",650 sqft,2,2,13 Thousand
916,"Block H, Banasree, Dhaka",850 sqft,2,3,12 Thousand
917,"Gulbag, Malibagh, Dhaka",700 sqft,2,1,16 Thousand
918,"Kalabagan, Dhaka","1,285 sqft",3,3,28 Thousand
919,"Block B, Aftab Nagar, Dhaka","1,590 sqft",3,3,26.5 Thousand
920,"Block D, Section 10, Mirpur, Dhaka",950 sqft,3,2,14 Thousand
921,"Block D, Section 10, Mirpur, Dhaka",650 sqft,2,2,12.5 Thousand
922,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
923,"Rupnagar R/A, Mirpur, Dhaka",700 sqft,2,2,13 Thousand
924,"Block F, aziz Moholla, Mohammadpur, Dhaka",720 sqft,2,2,15.5 Thousand
925,"Block B, Chandrima Model Town, Mohammadpur, Dhaka","1,200 sqft",3,3,15 Thousand
926,"West Kalachandpur, Kalachandpur, Dhaka","1,500 sqft",3,3,27 Thousand
927,"West Kalachandpur, Kalachandpur, Dhaka",750 sqft,2,2,14 Thousand
928,"Kafrul, Dhaka",650 sqft,2,1,10 Thousand
929,"West Kalachandpur, Kalachandpur, Dhaka",700 sqft,2,2,13.5 Thousand
930,"West Kalachandpur, Kalachandpur, Dhaka",800 sqft,2,2,16 Thousand
931,"East Monipur, Mirpur, Dhaka",950 sqft,3,2,13.5 Thousand
932,"Block C, Section 10, Mirpur, Dhaka","1,050 sqft",3,2,20 Thousand
933,"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",700 sqft,2,2,15 Thousand
934,"West Kalachandpur, Kalachandpur, Dhaka",800 sqft,2,2,16 Thousand
935,"West Kalachandpur, Kalachandpur, Dhaka",700 sqft,2,2,13 Thousand
936,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,26 Thousand
937,"Section 12, Mirpur, Dhaka","1,600 sqft",3,3,26 Thousand
938,"New Market, Dhaka","1,727 sqft",3,4,40 Thousand
939,"New Market, Dhaka","1,727 sqft",3,4,40 Thousand
940,"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka","1,500 sqft",4,3,20 Thousand
941,"Block A, Arifabad Housing Society, Pallabi, Mirpur, Dhaka","1,185 sqft",3,3,18.5 Thousand
942,"Khilgaon, Dhaka",750 sqft,2,2,16 Thousand
943,"Block F, Bashundhara R-A, Dhaka","1,400 sqft",3,4,25 Thousand
944,"Sector 14, Uttara, Dhaka","1,000 sqft",3,2,18 Thousand
945,"Block A, Bashundhara R-A, Dhaka","2,200 sqft",4,4,36 Thousand
946,"Tajmahal Road, Mohammadpur, Dhaka",720 sqft,2,1,15 Thousand
947,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",650 sqft,2,2,13 Thousand
948,"Block I, Bashundhara R-A, Dhaka","1,130 sqft",3,3,18 Thousand
949,"Sector 14, Uttara, Dhaka","1,800 sqft",3,3,28 Thousand
950,"Block E, Section 12, Mirpur, Dhaka",650 sqft,2,2,14 Thousand
951,"Baitul Aman Housing Society, Adabor, Dhaka",750 sqft,2,2,16 Thousand
952,"Kallyanpur, Mirpur, Dhaka","1,050 sqft",3,2,17 Thousand
953,"Sector 5, Uttara, Dhaka","1,050 sqft",2,2,17 Thousand
954,"Tajmahal Road, Mohammadpur, Dhaka",650 sqft,2,2,22 Thousand
955,"Sector 10, Uttara, Dhaka","1,556 sqft",3,3,20 Thousand
956,"Sector 13, Uttara, Dhaka",850 sqft,2,2,15 Thousand
957,"RK Mission Road, Gopibag, Motijheel, Dhaka",700 sqft,2,2,17 Thousand
958,"Shahjahanpur, Dhaka",800 sqft,2,2,22 Thousand
959,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,4,24 Thousand
960,"North Kamlapur, Kamlapur, Motijheel, Dhaka","1,150 sqft",2,2,22 Thousand
961,"Shantinagar, Dhaka","1,500 sqft",3,4,40 Thousand
962,"Block B, Mansurabad Housing Society, Adabor, Dhaka",850 sqft,2,2,16 Thousand
963,"Faydabad, Dakshin Khan, Dhaka",700 sqft,2,2,11 Thousand
964,"Sector 13, Uttara, Dhaka","1,000 sqft",2,2,18 Thousand
965,"Shahjahanpur, Dhaka",520 sqft,2,1,18 Thousand
966,"Shahjahanpur, Dhaka",700 sqft,2,2,18 Thousand
967,"North Shahjahanpur, Shahjahanpur, Dhaka","1,200 sqft",3,3,28 Thousand
968,"Shahjahanpur, Dhaka",400 sqft,1,1,16 Thousand
969,"Ibrahimpur, Dhaka","1,200 sqft",3,3,25 Thousand
970,"Badda, Dhaka",750 sqft,2,2,10 Thousand
971,"Malibagh, Dhaka",850 sqft,2,2,17 Thousand
972,"Block J, Bashundhara R-A, Dhaka","1,975 sqft",3,4,35 Thousand
973,"North Goran, Goran, Khilgaon, Dhaka","1,170 sqft",3,3,20 Thousand
974,"Ibrahimpur, Dhaka",950 sqft,3,2,10 Thousand
975,"Kafrul, Dhaka","1,450 sqft",3,2,24 Thousand
976,"Shahjahanpur, Dhaka",700 sqft,2,2,20 Thousand
977,"Shahjahanpur, Dhaka",700 sqft,2,2,20 Thousand
978,"Ali And Nur Real Estate, Mohammadpur, Dhaka",720 sqft,2,2,12 Thousand
979,"Block D, Arambag Residential Area, Pallabi, Mirpur, Dhaka",900 sqft,3,3,18 Thousand
980,"Arambag Residential Area, Mirpur, Dhaka","1,250 sqft",3,4,18 Thousand
981,"PC Culture Housing, Mohammadpur, Dhaka",725 sqft,2,2,16 Thousand
982,"Section 1, Mirpur, Dhaka",800 sqft,2,2,13 Thousand
983,"Block A, Bashundhara R-A, Dhaka","1,130 sqft",2,2,30 Thousand
984,"Block B, Section 12, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
985,"PC Culture Housing Society, Shyamoli, Dhaka","1,145 sqft",3,3,22 Thousand
